date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2021-12-01T00:00:00.000,OK,136101,1990946,2765466,1016,51.6
2021-12-01T00:00:00.000,MH,2313,40810,2429,2,28.3
2021-12-01T00:00:00.000,ID,75540,770758,1039981,2675,45.3
2021-12-01T00:00:00.000,DD2,294118,2223692,4049126,20544,0
2021-12-01T00:00:00.000,MD,331031,3514643,5639281,13968,67.7
2021-12-01T00:00:00.000,AK,39381,374528,545209,749,54.3
2021-12-01T00:00:00.000,VA2,234036,3314547,2983061,281,0
2021-12-01T00:00:00.000,GA,302699,4948296,7125401,12953,49.7
2021-12-01T00:00:00.000,NE,85351,954803,1551999,5269,57.4
2021-12-01T00:00:00.000,LA,176633,2157952,2896584,2684,48.9
2021-12-01T00:00:00.000,SC,204620,2421129,3582679,1973,51.5
2021-12-01T00:00:00.000,IA,161710,1696333,2355757,414,56.8
2021-12-01T00:00:00.000,ND,35655,357354,506038,308,48.9
2021-12-01T00:00:00.000,TN,235598,3142568,4782840,40444,49.6
2021-12-01T00:00:00.000,NM,104486,1288801,1735894,6636,63.6
2021-12-01T00:00:00.000,RI,59039,668000,1023375,1186,72.7
2021-12-01T00:00:00.000,WI,303996,3173474,4742844,1520,59.6
2021-12-01T00:00:00.000,MN,328895,3062586,4888664,2600,62.6
2021-12-01T00:00:00.000,IN,277720,2849353,4622898,26426,50.6
2021-12-01T00:00:00.000,KY,211251,2260930,2958312,1925,52.2
2021-12-01T00:00:00.000,FL,1329140,11639507,17935923,112516,61.5
2021-12-01T00:00:00.000,VT,49047,444954,628176,875,73
2021-12-01T00:00:00.000,NC,460374,5085329,8051701,869,54.3
2021-12-01T00:00:00.000,NY,1245561,11046085,17722694,11816,68.6
2021-12-01T00:00:00.000,TX,1374509,14081313,21900136,2948,54.8
2021-12-01T00:00:00.000,KS,120876,1445701,2142024,3058,54.7
2021-12-01T00:00:00.000,UT,163135,1485873,2470878,294,55.7
2021-11-30T00:00:00.000,ND,35564,356324,503998,307,48.8
2021-11-30T00:00:00.000,PR,140646,2120976,3140741,504,74.1
2021-11-30T00:00:00.000,MT,54182,563172,705192,1541,51.9
2021-11-30T00:00:00.000,UT,160756,1448361,2406628,294,55.3
2021-11-30T00:00:00.000,GU,10862,88356,175368,44,73.3
2021-11-30T00:00:00.000,WY,26607,280262,325371,569,45.6
2021-11-30T00:00:00.000,LA,175983,2150930,2887287,2684,48.9
2021-11-30T00:00:00.000,HI,55136,668664,1266453,94064,61
2021-11-30T00:00:00.000,IA,161343,1690258,2348536,414,56.7
2021-11-30T00:00:00.000,BP2,13138,107091,137570,31,0
2021-11-30T00:00:00.000,AS,547,18797,48522,1,66.2
2021-11-30T00:00:00.000,MS,80190,1303161,1794272,2005,46.9
2021-11-30T00:00:00.000,MA,366052,4508290,6735237,424,71.2
2021-11-30T00:00:00.000,TX,1371063,14036726,21834482,2935,54.7
2021-11-30T00:00:00.000,MH,2313,40810,2429,2,28.3
2021-11-30T00:00:00.000,WV,44372,766733,879281,474,41.5
2021-11-30T00:00:00.000,IH2,35928,909075,922397,168,37.8
2021-11-30T00:00:00.000,VA,448329,4719663,7925633,7255,64.9
2021-11-30T00:00:00.000,OK,135670,1984278,2757341,1014,51.5
2021-11-30T00:00:00.000,VT,48984,443859,626590,875,72.9
2021-11-30T00:00:00.000,RP,2334,26820,4700,0,73.3
2021-11-30T00:00:00.000,AK,39334,373900,543526,748,54.2
2021-11-30T00:00:00.000,KS,120545,1440523,2134455,3040,54.6
2021-11-30T00:00:00.000,KY,210521,2254313,2950111,1916,52.1
2021-11-30T00:00:00.000,IL,611460,6522451,10765363,24329,61.7
2021-11-30T00:00:00.000,MO,225878,2679960,4492077,2303,50.9
2021-11-30T00:00:00.000,SC,204002,2414589,3574100,1924,51.4
2021-11-30T00:00:00.000,VI,1841,35101,82866,0,49
2021-11-30T00:00:00.000,CA,2079749,22581070,34921582,15207,63.2
2021-11-30T00:00:00.000,MN,328126,3050428,4868049,2571,62.5
2021-11-30T00:00:00.000,IN,277101,2841409,4608876,26376,50.6
2021-11-30T00:00:00.000,MD,330279,3500157,5613556,13911,67.6
2021-11-30T00:00:00.000,RI,58915,665997,1020281,1179,72.6
2021-11-30T00:00:00.000,NE,85351,954776,1551845,5269,57.4
2021-11-30T00:00:00.000,NM,104132,1284291,1730342,6561,63.5
2021-11-30T00:00:00.000,WA,438852,4295598,6634057,8571,65
2021-11-30T00:00:00.000,SD,36172,457448,656052,132,54.6
2021-11-30T00:00:00.000,NJ,494306,5185848,7818099,647,67.8
2021-11-30T00:00:00.000,OR,248073,2319124,3627607,6312,64
2021-11-30T00:00:00.000,DE,55088,561108,828911,1712,61.6
2021-11-30T00:00:00.000,WI,303270,3163672,4726355,1512,59.5
2021-11-30T00:00:00.000,ID,75292,767836,1037069,2665,45.2
2021-11-30T00:00:00.000,CT,224938,2246289,3524879,1183,72
2021-11-30T00:00:00.000,GA,302564,4942731,7106945,12930,49.6
2021-11-30T00:00:00.000,DC,33111,427932,704368,470,64.5
2021-11-30T00:00:00.000,AR,108274,1517267,1895272,3268,49.3
2021-11-30T00:00:00.000,NC,459815,5071291,8033272,869,54.2
2021-11-30T00:00:00.000,VA2,233494,3301954,2975708,281,0
2021-11-30T00:00:00.000,NH,102007,808270,1227026,60,64.8
